[-1, 1, 1, 1, 2, 1, -4];[-4, 4, 4, 6, 3, -15, 15]
[1, -1, 1, 1, 2, 1, -4];[4, -4, 4, 6, 3, -15, 15]
[1, 1, -1, 1, 2, 1, -4];[4, 4, -4, 6, 3, -15, 15]
[-1, 1, 1, 2, 1, 1, -4];[-4, 4, 4, 3, 6, -15, 15]
[1, -1, 1, 2, 1, 1, -4];[4, -4, 4, 3, 6, -15, 15]
[1, 1, -1, 2, 1, 1, -4];[4, 4, -4, 3, 6, -15, 15]
[1, 1, 2, -1, 2, 1, -6];[4, 4, 2, -6, 3, -14, 14]
[1, 1, 2, 2, -1, 1, -6];[4, 4, 2, 3, -6, -14, 14]
[1, 2, 1, -1, 2, 1, -6];[4, 2, 4, -6, 3, -14, 14]
[1, 2, 1, 2, -1, 1, -6];[4, 2, 4, 3, -6, -14, 14]
[2, 1, 1, -1, 2, 1, -6];[2, 4, 4, -6, 3, -14, 14]
[2, 1, 1, 2, -1, 1, -6];[2, 4, 4, 3, -6, -14, 14]
[1, 1, 2, -2, 1, 6, 6];[4, 4, 2, -3, 10, -11, -110]
[1, 2, 1, -2, 1, 6, 6];[4, 2, 4, -3, 10, -11, -110]
[2, 1, 1, -2, 1, 6, 6];[2, 4, 4, -3, 10, -11, -110]
[-2, 2, 2, 1, 1, 1, -6];[-2, 2, 2, 7, 7, -21, -14]
[2, -2, 2, 1, 1, 1, -6];[2, -2, 2, 7, 7, -21, -14]
[2, 2, -2, 1, 1, 1, -6];[2, 2, -2, 7, 7, -21, -14]
[2, 2, 2, -2, 2, 2, 2];[2, 2, 2, -4, 7, 7, -28]
[1, -2, 1, 1, 2, 1, -4];[4, -2, 5, 5, 4, -20, -10]
[-2, 1, 1, 1, 2, 1, -4];[-2, 4, 5, 5, 4, -20, -10]
[-1, 1, 1, 1, 1, -4, 1];[-4, 4, 5, 7, 7, -5, -28]
[1, -1, 1, 1, 1, -4, 1];[4, -4, 5, 7, 7, -5, -28]
[1, 2, 1, -2, 1, -2, 1];[4, 2, 6, -3, 8, -6, -24]
[1, 2, -2, 1, 1, -2, 1];[4, 2, -3, 6, 8, -6, -24]
[2, 1, 1, -2, 1, -2, 1];[2, 4, 6, -3, 8, -6, -24]
[2, 1, -2, 1, 1, -2, 1];[2, 4, -3, 6, 8, -6, -24]
[1, -2, 1, 1, 1, -2, 1];[4, -2, 6, 7, 7, -6, -28]
[-2, 1, 1, 1, 1, -2, 1];[-2, 4, 6, 7, 7, -6, -28]
[1, 1, 1, -2, -2, 1, 1];[4, 5, 6, -3, -3, 12, -30]
[1, 1, -2, 1, -2, 1, 1];[4, 5, -3, 6, -3, 12, -30]
[1, 1, -2, -2, 1, 1, 1];[4, 5, -3, -3, 6, 12, -30]
